node_id,avg_hours_per_day,active_span_days,start_epoch,end_epoch
328337715,1.4720,402.88,1191217867,1226027055
328342152,2.6110,410.38,1192292945,1227749484
328354848,10.3389,393.44,1193238382,1227231439
328391754,15.3412,309.01,1199026734,1225725503
328401394,10.5270,439.05,1188629687,1226563626
328401948,14.0400,305.05,1199220660,1225577183
328422561,8.0001,465.02,1185684949,1225862818
328430232,8.8153,346.22,1195989691,1225903331
328450632,1.8296,305.59,1201666387,1228069686
328451124,20.5550,510.28,1182678121,1226766041
328456330,2.2564,360.87,1194732435,1225911192
328466696,5.8524,335.04,1197452098,1226399128
328498264,2.9845,560.62,1178266419,1226704185
328509729,17.2598,405.32,1192475355,1227494991
328518705,5.9318,370.21,1195724643,1227710601
328525061,12.3360,490.27,1185455073,1227814591
328525165,13.3712,569.49,1178439853,1227643748
328545347,18.6331,356.55,1194987153,1225793303
328556292,5.1112,370.65,1195761415,1227785340
328587053,1.3162,314.52,1198836045,1226010948
328588054,23.5321,313.08,1200609870,1227660345
328596766,17.6563,311.22,1200925156,1227814942
328599740,22.9446,399.48,1192913916,1227428748
328637358,14.3130,319.41,1198334965,1225932324
328642016,6.1896,343.64,1197155937,1226846553
328645707,23.4281,345.89,1197752826,1227638000
328689949,23.3616,484.28,1185735499,1227577352
328727699,18.2387,467.02,1185448974,1225799668
328752477,23.9530,327.98,1199263631,1227601380
328759552,11.6644,309.98,1199057693,1225839989
328765643,7.1916,321.85,1199903602,1227711158
328782977,5.3475,390.96,1192051554,1225830734
328818630,19.6954,447.62,1188492317,1227167038
328836744,5.5560,489.35,1185410087,1227690338
328853891,2.6712,390.15,1194594340,1228303105
328891359,8.2975,321.45,1198097391,1225870701
328911355,23.1349,320.74,1199921472,1227633401
328916767,8.3597,522.58,1182726251,1227877503
328922713,1.9643,355.41,1195187576,1225894692
328931901,5.6225,317.06,1200349390,1227743244
328942331,18.0941,519.93,1182663924,1227585711
328953235,9.8394,427.44,1190991048,1227922060
328998091,9.4380,313.78,1200606919,1227717853
329005832,21.8317,437.11,1189689986,1227456132
329013064,5.8212,327.67,1199358038,1227669121
329030634,1.6091,319.03,1198360200,1225924439
329037590,17.3454,303.48,1199766873,1225987394
329053349,2.9857,307.56,1201383545,1227956727
329066831,16.8776,338.16,1198264317,1227481532
329069087,19.5177,452.88,1188531346,1227659813
329185732,12.1948,403.79,1191450016,1226337232
329195791,17.7888,439.39,1188066801,1226030357
329207713,23.9986,410.03,1192201364,1227627961
329208530,23.4540,313.49,1200539436,1227624980
329261799,22.2223,517.13,1182761748,1227441553
329292678,4.8195,337.71,1198507759,1227685532
329301121,4.1959,344.89,1197063515,1226861754
329307804,19.7478,410.86,1189994038,1225491952
329309068,23.7088,389.76,1192913959,1226589402
