#	component_id	node_name	event_type	event_start_time
0	100416828	1	1211524407.906	1211524417.922
1	100416828	0	1211524417.922	1211524440.312
2	100416828	1	1211524440.312	1211615915.156
3	100416828	0	1211615915.156	1211616057.031
4	100416828	1	1211616057.031	1211837707.998
5	100416828	0	1211837707.998	1211837740.186
6	100416828	1	1211837740.186	1211849805.748
7	100416828	0	1211849805.748	1211867762.312
8	100416828	1	1211867762.312	1212269739.859
9	100416828	0	1212269739.859	1212269772.047
10	100416828	1	1212269772.047	1212705464.835
11	100416828	0	1212705464.835	1212705576.516
12	100416828	1	1212705576.516	1212998524.181
13	100416828	0	1212998524.181	1213075711.922
14	100416828	1	1213075711.922	1213133802.594
15	100416828	0	1213133802.594	1213133834.797
16	100416828	1	1213133834.797	1213157457.938
17	100416828	0	1213157457.938	1213165774.344
18	100416828	1	1213165774.344	1213204222.001
19	100416828	0	1213204222.001	1213204322.188
20	100416828	1	1213204322.188	1213498289.484
