component_id,node_name,event_type,event_start_time,event_end_time
0,100416828,1,1211524.407,1211524.417
1,100416828,0,1211524.417,1211524.44
2,100416828,1,1211524.44,1211615.915
3,100416828,0,1211615.915,1211616.057
4,100416828,1,1211616.057,1211837.707
5,100416828,0,1211837.707,1211837.74
6,100416828,1,1211837.74,1211849.805
7,100416828,0,1211849.805,1211867.762
8,100416828,1,1211867.762,1212269.739
